Suburb Name or Postcode,Employment Regions (% of population in each Area)
NEVILLE,Central West (100%)
NEVILTON,Darling Downs (100%)
NEW AUCKLAND,Fitzroy (100%)
NEW BEITH,Brisbane South East (100%)
NEW BERRIMA,Illawarra South Coast (100%)
NEW BRIGHTON,North Coast (100%)
NEW BUILDINGS,Illawarra South Coast (100%)
NEW FARM,Somerset (100%)
NEW GISBORNE,North Western Melbourne (100%)
NEW HARBOURLINE,Cairns (100%)
NEW ITALY,North Coast (100%)
NEW LAMBTON,Hunter (100%)
NEW LAMBTON HEIGHTS,Hunter (100%)
NEW MEXICO,New England and North West (100%)
NEW MOONTA,Wide Bay and Sunshine Coast (100%)
NEW NORCIA,Great Southern - Wheatbelt (100%)
NEW NORFOLK,Hobart and Southern Tasmania (100%)
NEW PARK,North Coast (100%)
NEW PORT,Adelaide North (100%)
NEW RESIDENCE,Murray and South East (100%)
NEW TOWN (SA),Mid North SA (100%)
NEW TOWN (TAS),Hobart and Southern Tasmania (100%)
NEW VALLEY,New England and North West (100%)
NEW WELL,Murray and South East (100%)
NEWBOROUGH,Gippsland (100%)
NEWBRIDGE (NSW),Central West (100%)
NEWBRIDGE (VIC),Bendigo (100%)
NEWBURY,Ballarat (100%)
NEWCARLBEON,Great Southern - Wheatbelt (100%)
NEWCASTLE,Hunter (100%)
NEWCASTLE EAST,Hunter (100%)
NEWCASTLE WEST,Hunter (100%)
NEWCOMB,Barwon (100%)
NEWDEGATE,Great Southern - Wheatbelt (100%)
NEWEE CREEK,Mid North Coast (100%)
NEWELL,Cairns (100%)
NEWFIELD,South Coast of Victoria (100%)
NEWHAM,Bendigo (100%)
NEWHAVEN,Gippsland (100%)
NEWINGTON (NSW),Sydney Greater West (100%)
NEWINGTON (VIC),Ballarat (100%)
NEWLAND,Adelaide South (100%)
NEWLANDS (QLD),Mackay (100%)
NEWLANDS (WA),South West WA (100%)
NEWLANDS ARM,Gippsland (100%)
NEWLYN,Ballarat (100%)
NEWLYN NORTH,Ballarat (100%)
NEWMARKET,Somerset (100%)
NEWMERELLA,Gippsland (100%)
NEWNES,Central West (100%)
NEWNHAM,North and North Western Tasmania (100%)
NEWPORT (NSW),Sydney North and West (100%)
NEWPORT (QLD),Somerset (100%)
NEWPORT (VIC),Western Melbourne (100%)
NEWRY,Gippsland (100%)
NEWRYBAR,North Coast (100%)
NEWSTEAD (NSW),New England and North West (100%)
NEWSTEAD (QLD),Somerset (100%)
NEWSTEAD (TAS),North and North Western Tasmania (100%)
NEWSTEAD (VIC),Bendigo (100%)
NEWTON,Adelaide South (100%)
NEWTON BOYD,North Coast(79.7%);New England and North West(20.3%)
NEWTOWN (NSW),Sydney East Metro (100%)
NEWTOWN (QLD 4305),Wivenhoe (100%)
NEWTOWN (QLD 4350),Darling Downs (100%)
NEWTOWN (VIC 3220),Barwon (100%)
NEWTOWN (VIC 3351),Ballarat (100%)
NGAPALA,Mid North SA (100%)
NGUNNAWAL,Capital Region (100%)
NHILL,Wimmera Mallee (100%)
NIAGARA PARK,Sydney North and West (100%)
NIANGALA,New England and North West (100%) 
NICHOLLS,Capital Region (100%)
NICHOLLS RIVULET,Hobart and Southern Tasmania (100%)
NICHOLS POINT,Wimmera Mallee (100%)
NICHOLSON (VIC),Gippsland (100%)
NIDDRIE,North Western Melbourne (100%)
NIEMUR,Murray Riverina (100%)
NIETTA,North and North Western Tasmania (100%)
NIGHTCLIFF,Darwin (100%)
NIKENBAH,Wide Bay and Sunshine Coast (100%)
NILDOTTIE,Murray and South East (100%)
NILE,North and North Western Tasmania (100%)
NILGEN,Great Southern - Wheatbelt (100%)
NILLUP,South West WA (100%)
NILMA,Gippsland (100%)
NILMA NORTH,Gippsland (100%)
NIMBIN,North Coast (100%)
NIMMITABEL,Capital Region (100%)
NIMMO,Capital Region (100%)
NINDA,Wimmera Mallee (100%)
NINDAROO,Mackay (100%)
NINDERRY,Wide Bay and Sunshine Coast (100%)
NINDOOINBAH,Brisbane South East (100%)
NINE MILE (QLD),Fitzroy (100%)
NINE MILE (VIC),Bendigo (100%) 
NINE MILE CREEK,Fitzroy (100%)
NINGI,Somerset (100%)
NINNES,Mid North SA (100%)
NINTINGBOOL,Ballarat (100%)
NIPPERING,Great Southern - Wheatbelt (100%)
NIRIMBA,Perth South (100%)
NIRRANDA,South Coast of Victoria (100%)
NIRRANDA EAST,South Coast of Victoria (100%)
NIRRANDA SOUTH,South Coast of Victoria (100%)
NO 4 BRANCH,Cairns (100%)
NO 5 BRANCH,Cairns (100%)
NO 6 BRANCH,Cairns (100%)
NOARLUNGA CENTRE,Adelaide South (100%)
NOARLUNGA DOWNS,Adelaide South (100%)
NOBBY,Darling Downs (100%)
NOBBYS CREEK,North Coast (100%)
NOBLE PARK,South Eastern Melbourne and Peninsula (100%)
NOBLE PARK NORTH,South Eastern Melbourne and Peninsula (100%)
NOGGERUP,South West WA (100%)
NOKANING,Great Southern - Wheatbelt (100%)
NOLLAMARA,Perth North (100%)
NOMANS LAKE,Great Southern - Wheatbelt (100%)
NOMBI,Far West Orana (100%)
NOME,Townsville (100%)
NOOJEE,Gippsland (100%)
NOOK,North and North Western Tasmania (100%)
NOORAT,South Coast of Victoria (100%)
NOORAT EAST,South Coast of Victoria (100%)
NOORINBEE,Gippsland (100%)
NOORINDOO,Darling Downs (100%)
NOORONG,Murray Riverina (100%)
NOOROO,Mid North Coast (100%)
NOOSA HEADS,Wide Bay and Sunshine Coast (100%)
NOOSA NORTH SHORE,Wide Bay and Sunshine Coast (100%)
NOOSAVILLE,Wide Bay and Sunshine Coast (100%)
NORA CREINA,Murray and South East (100%)
NORADJUHA,Wimmera Mallee (100%)
NORAH HEAD,Sydney North and West (100%)
NORANDA,Perth North (100%)
NORAVILLE,Sydney North and West (100%)
NORDS WHARF,Hunter (100%)
NORLANE,Barwon (100%)
NORMAN GARDENS,Fitzroy (100%)
NORMAN PARK,Somerset (100%)
NORMANHURST,Sydney North and West (100%)
NORMANVILLE (SA),Adelaide South (100%)
NORMANVILLE (VIC),Wimmera Mallee (100%)
NORNALUP,Great Southern - Wheatbelt (100%)
NORONG,Goulburn/Murray (100%)
NORPA,Great Southern - Wheatbelt (100%)
NORTH ADELAIDE,Adelaide South (100%)
NORTH ALBURY,Goulburn/Murray (100%)
NORTH ARAMARA,Wide Bay and Sunshine Coast (100%)
NORTH ARM (NSW),North Coast (100%)
NORTH ARM (QLD),Wide Bay and Sunshine Coast (100%)
NORTH ARM COVE,Hunter (100%)
NORTH AVOCA,Sydney North and West (100%)
NORTH BAANDEE,Great Southern - Wheatbelt (100%)
NORTH BALGOWLAH,Sydney North and West (100%)
NORTH BANNISTER,Great Southern - Wheatbelt (100%)
NORTH BATEMANS BAY,Illawarra South Coast (100%)
NORTH BEACH (SA),Mid North SA (100%)
NORTH BEACH (WA),Perth North (100%)
NORTH BENDIGO,Bendigo (100%)
NORTH BLACKWOOD,Ballarat (100%)
NORTH BOAMBEE VALLEY,Mid North Coast (100%)
NORTH BODALLIN,Great Southern - Wheatbelt (100%)
NORTH BONDI,Sydney East Metro (100%)
NORTH BOOBOROWIE,Mid North SA (100%)
NORTH BOOVAL,Wivenhoe (100%)
NORTH BOYANUP,South West WA (100%)
NORTH BRANCH (QLD 4356),Darling Downs (100%)
NORTH BRANCH (QLD 4370),Darling Downs (100%)
NORTH BRIGHTON,Adelaide South (100%)
NORTH BRUNY,Hobart and Southern Tasmania (100%)
NORTH BUNGUNYA,Darling Downs (100%)
NORTH BURNGUP,Great Southern - Wheatbelt (100%)
NORTH CAPE,Adelaide South (100%)
NORTH CASINO,North Coast (100%)
NORTH COOGEE,Perth South (100%)
NORTH CURL CURL,Sydney North and West (100%)
NORTH DANDALUP,Perth South (100%)
NORTH DEEP CREEK,Wide Bay and Sunshine Coast (100%)
NORTH DORRIGO,Mid North Coast (100%)
NORTH EPPING,Sydney North and West (100%)
NORTH ETON,Mackay (100%)
NORTH FREMANTLE,Perth South (100%)
NORTH GEELONG,Barwon (100%)
NORTH GOSFORD,Sydney North and West (100%)
NORTH GREENBUSHES,South West WA (100%)
NORTH GREGORY,Wide Bay and Sunshine Coast (100%)
NORTH HAVEN (NSW),Mid North Coast (100%)
NORTH HAVEN (SA),Adelaide North (100%)
NORTH HOBART,Hobart and Southern Tasmania (100%)
NORTH IPSWICH,Wivenhoe (100%)
NORTH ISIS,Wide Bay and Sunshine Coast (100%)
NORTH JINDONG,South West WA (100%)
NORTH JOHNSTONE,Cairns (100%)
NORTH KELLERBERRIN,Great Southern - Wheatbelt (100%)
NORTH KUKERIN,Great Southern - Wheatbelt (100%)
NORTH KUNUNOPPIN,Great Southern - Wheatbelt (100%)
NORTH LAKE,Perth South (100%)
NORTH LAKE GRACE,Great Southern - Wheatbelt (100%)
NORTH LAKES,Somerset (100%)
NORTH LAMBTON,Hunter (100%)
NORTH LILYDALE,North and North Western Tasmania (100%)
NORTH LISMORE,North Coast (100%)
NORTH MACKAY,Mackay (100%)
NORTH MACKSVILLE,Mid North Coast (100%)
NORTH MACLAGAN,Darling Downs (100%)
NORTH MACLEAN,Brisbane South East (100%)
NORTH MACQUARIE,Illawarra South Coast (100%)
NORTH MALENY,Wide Bay and Sunshine Coast (100%)
NORTH MANLY,Sydney North and West (100%)
NORTH MELBOURNE,Inner Metropolitan Melbourne (100%)
NORTH MOONTA,Mid North SA (100%)
NORTH MOTTON,North and North Western Tasmania (100%)
NORTH MOULYINNING,Great Southern - Wheatbelt (100%)
NORTH NAROOMA,Illawarra South Coast (100%)
NORTH NARRABEEN,Sydney North and West (100%)
NORTH NOWRA,Illawarra South Coast (100%)
NORTH PARRAMATTA,Sydney Greater West (100%)
NORTH PERTH,Perth North (100%)
NORTH PLYMPTON,Adelaide North (100%)
NORTH RICHMOND,Sydney Greater West (100%)
NORTH ROCKS,Sydney Greater West (100%)
NORTH ROTHBURY,Hunter (100%)
NORTH RYDE,Sydney North and West (100%)
NORTH SCOTTSDALE,North and North Western Tasmania (100%)
NORTH SHORE (NSW),Mid North Coast (100%)
NORTH SHORE (VIC),Barwon (100%)
NORTH ST MARYS,Sydney Greater West (100%)
NORTH STAR,New England and North West (100%)
NORTH STIRLINGS,Great Southern - Wheatbelt (100%)
NORTH STRADBROKE ISLAND,Brisbane South East (100%)
NORTH STRATHFIELD,Sydney East Metro (100%)
NORTH SYDNEY,Sydney North and West (100%)
NORTH TALWOOD,Darling Downs (100%)
NORTH TAMMIN,Great Southern - Wheatbelt (100%)
NORTH TAMWORTH,New England and North West (100%)
NORTH TIVOLI,Wivenhoe (100%)
NORTH TOOWOOMBA,Darling Downs (100%)
NORTH TRAYNING,Great Southern - Wheatbelt (100%)
NORTH TUMBULGUM,Gold Coast (100%)
NORTH TURRAMURRA,Sydney North and West (100%)
NORTH WAGGA WAGGA,Murray Riverina (100%)
NORTH WAHROONGA,Sydney North and West (100%)
NORTH WALPOLE,South West WA (100%)
NORTH WANGARATTA,Goulburn/Murray (100%)
NORTH WARD,Townsville (100%)
NORTH WARRANDYTE,North Eastern Melbourne (100%)
NORTH WEST BEND,Murray and South East (100%)
NORTH WIALKI,Great Southern - Wheatbelt (100%)
NORTH WILLOUGHBY,Sydney North and West (100%)
NORTH WOLLONGONG,Illawarra South Coast (100%)
NORTH WONTHAGGI,Gippsland (100%)
NORTH WOODBURN,North Coast (100%)
NORTH YALGOGRIN,Central West (100%)
NORTH YELBENI,Great Southern - Wheatbelt (100%)
NORTH YELTA,Mid North SA (100%)
NORTH YEOVAL,Far West Orana (100%)
NORTH YUNDERUP,Perth South (100%)
NORTHAM,Great Southern - Wheatbelt (100%)
NORTHANGERA,Capital Region (100%)
NORTHBRIDGE (NSW),Sydney North and West (100%)
NORTHBRIDGE (WA),Perth North (100%)
NORTHCLIFFE,South West WA (100%)
NORTHCOTE,Inner Metropolitan Melbourne (100%)
NORTHDOWN,North and North Western Tasmania (100%)
NORTHERN HEIGHTS,Murray and South East (100%)
NORTHFIELD,Adelaide North (100%)
NORTHGATE (QLD),Somerset (100%)
NORTHGATE (SA),Adelaide North (100%)
NORTHMEAD,Sydney Greater West (100%)
NORTHWOOD (NSW),Sydney North and West (100%)
NORTHWOOD (VIC),Goulburn/Murray (100%)
NORTON SUMMIT,Adelaide South (100%)
NORVAL,Wimmera Mallee (100%)
NORVILLE,Wide Bay and Sunshine Coast (100%)
NORWAY,Central West (100%)
NORWELL,Gold Coast (100%)
NORWIN,Darling Downs (100%)
NORWOOD (SA),Adelaide South (100%)
NORWOOD (TAS),North and North Western Tasmania (100%)
NOTLEY HILLS,North and North Western Tasmania (100%)
NOTTING HILL,South Eastern Melbourne and Peninsula (100%)
NOTTS WELL,Murray and South East (100%)
NOVAR GARDENS,Adelaide North (100%)
NOWA NOWA,Gippsland (100%)
NOWENDOC,New England and North West (100%)
NOWERGUP,Perth North (100%)
NOWHERE CREEK,Ballarat (100%)
NOWHERE ELSE,North and North Western Tasmania (100%)
NOWIE,Wimmera Mallee (100%)
NOWLEY,New England and North West (100%)
NOWRA,Illawarra South Coast (100%)
NOWRA HILL,Illawarra South Coast (100%)
NUBBA,Capital Region (100%)
NUBEENA,Hobart and Southern Tasmania (100%)
NUDGEE,Somerset (100%)
NUDGEE BEACH,Somerset (100%)
NUG NUG,Goulburn/Murray (100%)
NUGADONG,Great Southern - Wheatbelt (100%)
NUGARA,North and North Western Tasmania (100%)
NUGENT,Hobart and Southern Tasmania (100%)
NUGGETTY,Bendigo (100%)
NUKARNI,Great Southern - Wheatbelt (100%)
NUKKU,Wide Bay and Sunshine Coast (100%)
NULKABA,Hunter (100%)
NULLA VALE,Goulburn/Murray (100%)
NULLAKI,Great Southern - Wheatbelt (100%)
NULLAMANNA,New England and North West (100%)
NULLAWARRE,South Coast of Victoria (100%)
NULLAWARRE NORTH,South Coast of Victoria (100%)
NULLAWIL,Wimmera Mallee (100%)
NULLICA,Illawarra South Coast (100%)
NULLO MOUNTAIN,Central West (100%)
NULSEN,Esperance (100%)
NUMBAA,Illawarra South Coast (100%)
NUMBER ONE,Mid North Coast (100%)
NUMBLA VALE,Capital Region (100%)
NUMBUGGA,Illawarra South Coast (100%)
NUMERALLA,Capital Region (100%)
NUMINBAH,North Coast (100%)
NUMINBAH VALLEY,Gold Coast (100%)
NUMULGI,North Coast (100%)
NUMURKAH,Goulburn/Murray (100%)
NUNAMARA,North and North Western Tasmania (100%)
NUNAWADING,North Eastern Melbourne (100%)
NUNDAH,Somerset (100%)
NUNDERI,North Coast (100%)
NUNDLE,New England and North West (100%)
NUNDUBBERMERE,Darling Downs (100%)
NUNGARIN,Great Southern - Wheatbelt (100%)
NUNGATTA,Illawarra South Coast (100%)
NUNGURNER,Gippsland (100%)
NUNILE,Great Southern - Wheatbelt (100%)
NURCOUNG,Wimmera Mallee (100%)
NURENMERENMONG,Murray Riverina (100%)
NURIOOTPA,Mid North SA (100%)
NUROM,Mid North SA (100%)
NURRABIEL,Wimmera Mallee (100%)
NURRAGI,Adelaide South (100%)
NUTFIELD,North Eastern Melbourne (100%)
NUTGROVE,Darling Downs (100%)
NYABING,Great Southern - Wheatbelt (100%)
NYAH,Wimmera Mallee (100%)
NYAH WEST,Wimmera Mallee (100%)
NYARRIN,Wimmera Mallee (100%)
NYERIMILANG,Gippsland (100%)
NYMBOIDA,North Coast (100%)
NYNGAN,Far West Orana (100%)
NYORA (NSW),Murray Riverina (100%)
NYORA (VIC),Gippsland(97.4%);South Eastern Melbourne and Peninsula(2.6%)
NYRANG CREEK,Central West (100%)
NYRRABY,Wimmera Mallee (100%)
O'BIL BIL,Wide Bay and Sunshine Coast (100%)
O'BRIENS HILL,Cairns (100%)
O'CONNELL (NSW),Central West (100%)
O'CONNELL (QLD),Fitzroy (100%)
O'CONNOR (ACT),Capital Region (100%)
O'CONNOR (WA),Perth South (100%)
O'HALLORAN HILL,Adelaide South (100%)
O'MALLEY,Capital Region (100%)
O'REILLY,Gold Coast (100%)
O'SULLIVAN BEACH,Adelaide South (100%)
O. B. FLAT,Murray and South East (100%)
OAK BEACH,Cairns (100%)
OAK FLATS,Illawarra South Coast (100%)
OAK PARK,North Western Melbourne (100%)
OAK VALLEY,Townsville (100%)
OAKBANK,Adelaide South (100%)
OAKDALE (NSW),Sydney South West (100%)
OAKDALE (QLD),Wide Bay and Sunshine Coast (100%)
OAKDEN,Adelaide North (100%)
OAKDOWNS,Hobart and Southern Tasmania (100%)
OAKENDEN,Mackay (100%)
OAKEY,Darling Downs (100%)
OAKEY CREEK,Fitzroy (100%)
OAKEY PARK,Central West (100%)
OAKFORD,Perth South (100%)
OAKHAMPTON,Hunter (100%)
OAKHAMPTON HEIGHTS,Hunter (100%)
OAKHURST (NSW),Sydney Greater West (100%)
OAKHURST (QLD),Wide Bay and Sunshine Coast (100%)
OAKLANDS,Murray Riverina (100%)
OAKLANDS JUNCTION,North Western Melbourne (100%)
OAKLANDS PARK,Adelaide South (100%)
OAKLEIGH,South Eastern Melbourne and Peninsula (100%)
OAKLEIGH EAST,South Eastern Melbourne and Peninsula (100%)
OAKLEIGH SOUTH,South Eastern Melbourne and Peninsula (100%)
OAKLEY,Perth South (100%)
OAKS,North and North Western Tasmania (100%)
OAKS ESTATE,Capital Region (100%)
OAKVALE,Wimmera Mallee (100%)
OAKVIEW,Wide Bay and Sunshine Coast (100%)
OAKVILLE,Sydney North and West (100%)
OAKWOOD (NSW),New England and North West (100%)
OAKWOOD (QLD),Wide Bay and Sunshine Coast (100%)
OAKY CREEK,Brisbane South East (100%)
OALLEN,Capital Region (100%)
OATLANDS (NSW),Sydney Greater West (100%)
OATLANDS (TAS),Hobart and Southern Tasmania (100%)
OATLEY,Sydney East Metro (100%)
OBAN,New England and North West (100%)
OBANVALE,Hunter (100%)
OBERINA,Darling Downs (100%)
OBERNE CREEK,Murray Riverina (100%)
OBERON,Central West (100%)
OBI OBI,Wide Bay and Sunshine Coast (100%)
OBLEY,Far West Orana (100%)
OBUM OBUM,Wivenhoe (100%)
OCEAN BEACH,Great Southern - Wheatbelt (100%)
OCEAN GROVE,Barwon (100%)
OCEAN REEF,Perth North (100%)
OCEAN SHORES,North Coast (100%)
OCEAN VIEW,Somerset (100%)
OCEAN VISTA,North and North Western Tasmania (100%)
OFFICER,South Eastern Melbourne and Peninsula (100%)
OFFICER SOUTH,South Eastern Melbourne and Peninsula (100%)
OGMORE,Fitzroy (100%)
OGUNBIL,New England and North West (100%)
OKEDEN,Wide Bay and Sunshine Coast (100%)
OLD ADAMINABY,Capital Region (100%)
OLD BAR,Mid North Coast (100%)
OLD BEACH,Hobart and Southern Tasmania (100%)
OLD BONALBO,North Coast (100%)
OLD CALPERUM,Murray and South East (100%)
OLD COORANGA,Wide Bay and Sunshine Coast (100%)
OLD EROWAL BAY,Illawarra South Coast (100%)
OLD GREVILLIA,North Coast (100%)
OLD GUILDFORD,Sydney Greater West (100%)
OLD JUNEE,Murray Riverina (100%)
OLD MILL,New England and North West (100%)
OLD NOARLUNGA,Adelaide South (100%)
OLD PLAINS,Great Southern - Wheatbelt (100%)
OLD REYNELLA,Adelaide South (100%)
OLD STATION,Mid North Coast (100%)
OLD TALGAI,Darling Downs (100%)
OLD TALLANGATTA,Goulburn/Murray (100%)
OLD TOONGABBIE,Sydney Greater West (100%)
OLDBURY,Perth South (100%)
OLDINA,North and North Western Tasmania (100%)
OLINDA (NSW),Central West (100%)
OLINDA (VIC),North Eastern Melbourne (100%)
OMADALE,Hunter (100%)
OMAN AMA,Darling Downs (100%)
OMBERSLEY,South Coast of Victoria (100%)
OMEO,Gippsland (100%)
OMEO VALLEY,Gippsland (100%)
ONDIT,South Coast of Victoria (100%)
ONE MILE (NSW),Hunter (100%)
ONE MILE (QLD),Wivenhoe (100%)
ONE TREE,Murray Riverina (100%)
ONE TREE HILL,Adelaide North (100%)
ONE TREE ISLAND (QLD),Fitzroy (100%)
ONGERUP,Great Southern - Wheatbelt (100%)
ONKAPARINGA HILLS,Adelaide South (100%)
OODLA WIRRA,Mid North SA (100%)
OOLONG,Capital Region (100%)
OOMA,Central West (100%)
OOMBABEER,Fitzroy (100%)
OONOONBA,Townsville (100%)
OORALEA,Mackay (100%)
OOTHA,Central West (100%)
OPHIR,Central West (100%)
OPOSSUM BAY,Hobart and Southern Tasmania (100%)
ORALLO,Darling Downs (100%)
ORAN PARK,Sydney South West (100%)
ORANA,Great Southern - Wheatbelt (100%)
ORANGE,Central West (100%)
ORANGE CREEK,Fitzroy (100%)
ORANGE GROVE (NSW),New England and North West (100%)
ORANGE GROVE (WA),Perth South (100%)
ORANGE HILL,Darling Downs (100%)
ORANGE SPRINGS,Great Southern - Wheatbelt (100%)
ORANGEVILLE,Sydney South West (100%)
ORBOST,Gippsland (100%)
ORCHARD HILLS,Sydney Greater West (100%)
ORCHID VALLEY,Great Southern - Wheatbelt (100%)
ORELIA,Perth South (100%)
ORFORD (TAS),Hobart and Southern Tasmania (100%)
ORFORD (VIC),South Coast of Victoria (100%)
ORIELTON,Hobart and Southern Tasmania (100%)
ORIENT,Townsville (100%)
ORIENT POINT,Illawarra South Coast (100%)
ORION,Fitzroy (100%)
ORMEAU,Gold Coast (100%)
ORMEAU HILLS,Gold Coast (100%)
ORMISTON,Brisbane South East (100%)
ORMOND,Inner Metropolitan Melbourne (100%)
ORROROO,Mid North SA (100%)
ORRVALE,Goulburn/Murray (100%)
ORTON PARK,Central West (100%)
OSBORNE (NSW),Murray Riverina (100%)
OSBORNE (QLD),Townsville (100%)
OSBORNE (SA),Adelaide North (100%)
OSBORNE PARK,Perth North (100%)
OSBORNES FLAT,Goulburn/Murray (100%)
OSMASTON,North and North Western Tasmania (100%)
OSMINGTON,South West WA (100%)
OSTERLEY (NSW),Hunter (100%)
OSTERLEY (TAS),Hobart and Southern Tasmania (100%)
OSWALD,Hunter (100%)
OTAGO,Hobart and Southern Tasmania (100%)
OTFORD,Illawarra South Coast (100%)
OTTABA,Wivenhoe (100%)
OTTOWAY,Adelaide North (100%)
OURA,Murray Riverina (100%)
OURIMBAH,Sydney North and West (100%)
OURNIE,Murray Riverina (100%)
OUSE,Hobart and Southern Tasmania (100%)
OUTER HARBOR,Adelaide North (100%)
OUTTRIM,Gippsland (100%)
OUYEN,Wimmera Mallee (100%)
OVENS,Goulburn/Murray (100%)
OVERLAND CORNER,Murray and South East (100%)
OVINGHAM,Adelaide North(72.7%);Adelaide South(27.3%)
OWANYILLA,Wide Bay and Sunshine Coast (100%)
OWEN,Mid North SA (100%)
OWENS CREEK,Mackay (100%)
OWENS GAP,Hunter (100%)
OXENFORD,Gold Coast (100%)
OXFORD,Mackay (100%)
OXFORD FALLS,Sydney North and West (100%)
OXLEY (ACT),Capital Region (100%)
OXLEY (NSW 2711),Murray Riverina (100%)
OXLEY (NSW 2824),Far West Orana (100%)
OXLEY (QLD),Wivenhoe (100%)
OXLEY (VIC),Goulburn/Murray (100%)
OXLEY FLATS,Goulburn/Murray (100%)
OXLEY ISLAND,Mid North Coast (100%)
OXLEY PARK,Sydney Greater West (100%)
OXLEY VALE,New England and North West (100%)
OYSTER BAY,Sydney East Metro (100%)
OYSTER COVE (NSW),Hunter (100%)
OYSTER COVE (TAS),Hobart and Southern Tasmania (100%)
OYSTER CREEK,Fitzroy (100%)
OZENKADNOOK,Wimmera Mallee (100%)
PAARATTE,South Coast of Victoria (100%)
PACIFIC HAVEN,Wide Bay and Sunshine Coast (100%)
PACIFIC HEIGHTS,Fitzroy (100%)
PACIFIC PARADISE,Wide Bay and Sunshine Coast (100%)
PACIFIC PINES,Gold Coast (100%)
PACKERS CAMP,Cairns (100%)
PADBURY,Perth North (100%)
PADDINGTON (NSW),Sydney East Metro (100%)
PADDINGTON (QLD),Somerset (100%)
PADDYS FLAT (NSW 2632),Capital Region (100%)
PADDYS RIVER (NSW 2577),Illawarra South Coast (100%)
PADDYS RIVER (NSW 2653),Murray Riverina (100%)
PADDYS RIVER DISTRICT,Capital Region (100%)
PADSTOW,Sydney South West (100%) 
PADSTOW HEIGHTS,Sydney South West (100%)
PADTHAWAY,Murray and South East (100%)
PAECHTOWN,Adelaide South (100%)
PAGANS FLAT,North Coast (100%)
PAGE,Capital Region (100%)
PAGES CREEK,Hunter (100%)
PAGES FLAT,Adelaide South (100%)
PAGET,Mackay (100%)
PAGEWOOD,Sydney East Metro (100%)
PAINSWICK,Ballarat (100%)
PAISLEY,Murray and South East (100%)
PAKENHAM,South Eastern Melbourne and Peninsula (100%)
PAKENHAM SOUTH,South Eastern Melbourne and Peninsula (100%)
PAKENHAM UPPER,South Eastern Melbourne and Peninsula (100%)
PALANA,North and North Western Tasmania (100%)
PALARANG,Capital Region (100%)
PALEN CREEK,Brisbane South East (100%)
PALGARUP,South West WA (100%)
PALGRAVE,Darling Downs (100%)
PALING YARDS (NSW 2580),Central West (100%)
PALING YARDS (NSW 2795),Central West (100%)
PALLAL,New England and North West (100%)
PALLAMALLAWA,New England and North West (100%)
PALLAMANA,Murray and South East (100%)
PALLARA,Brisbane South East (100%)
PALLARENDA,Townsville (100%)
PALLINUP,Great Southern - Wheatbelt (100%)
PALM BEACH (NSW),Sydney North and West (100%)
PALM BEACH (QLD),Gold Coast (100%)
PALM COVE,Cairns (100%)
